,core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
672,806400.0,576000.0,408000000.0,4.0,0.5,1.0,1,100,100,10,3,2,60,1,1,1,500000,30,30,5,1,65536,24000000,256,100,2000,14.164048737680009,13172.0
682,2035200.0,960000.0,600000000.0,1.0,0.5,2.0,1,60,500,10,0,1,50,1,1,1,500000,30,60,5,4,32768,24000000,128,100,1000,9.813867814546072,69875.0
667,806400.0,1344000.0,2133000000.0,2.0,0.5,1.0,0,60,500,80,3,2,50,1,2,0,500000,60,30,50,1,65536,24000000,256,50,2000,21.16197215361361,91345.0
1223,960000.0,2188800.0,204000000.0,3.0,0.5,2.0,0,60,100,10,3,2,50,0,2,1,500000,60,30,50,4,32768,24000000,128,100,1000,9.81025998055146,43005.0
1755,1190400.0,960000.0,800000000.0,2.0,0.9,1.0,0,60,100,80,3,1,60,0,2,0,950000,30,30,5,4,32768,96000000,256,50,2000,9.298231159628287,98577.0
1030,1574400.0,806400.0,665600000.0,3.0,0.9,1.0,0,60,100,80,0,2,60,0,1,1,950000,60,30,50,1,65536,96000000,256,50,1000,11.296948383030774,39199.0
46,1113600.0,576000.0,800000000.0,2.0,0.9,1.0,0,100,500,80,3,2,60,0,1,0,950000,30,60,50,1,65536,24000000,256,50,1000,8.718618220842478,51570.0
837,1651200.0,1344000.0,1866000000.0,1.0,0.9,2.0,0,100,500,80,3,2,60,0,2,0,950000,30,30,5,4,65536,24000000,128,50,2000,9.951069637680504,102658.0
329,652800.0,422400.0,665600000.0,3.0,0.9,1.0,1,100,100,80,0,1,50,0,2,0,500000,60,60,50,4,32768,96000000,128,100,1000,28.260606781077914,87305.0
808,1804800.0,806400.0,2133000000.0,1.0,0.5,1.0,0,60,100,80,3,2,60,1,1,1,950000,60,60,5,1,65536,24000000,128,50,1000,11.313656340888784,91682.0
58,115200.0,499200.0,408000000.0,1.0,0.9,1.0,1,60,500,80,0,2,50,0,2,1,500000,30,60,5,4,32768,96000000,256,50,1000,19.851020077606183,96349.0
1596,1190400.0,806400.0,665600000.0,1.0,0.5,2.0,1,60,500,80,3,2,50,0,2,1,950000,30,60,50,4,65536,96000000,256,50,2000,3.3532773593048613,36043.0
580,1574400.0,883200.0,2133000000.0,4.0,0.5,2.0,1,60,100,10,0,1,60,0,2,1,950000,60,30,50,4,65536,96000000,256,100,1000,2.8323084349816763,100186.0
1459,1267200.0,1113600.0,600000000.0,3.0,0.5,1.0,0,100,100,80,3,1,60,1,1,0,500000,60,60,50,1,32768,96000000,128,100,2000,19.929530721417276,112463.0
2362,960000.0,422400.0,1065600000.0,2.0,0.5,1.0,1,100,100,80,3,2,50,1,1,1,950000,60,30,5,1,32768,96000000,128,50,1000,23.901757079848128,57772.0
2040,1113600.0,268800.0,1331200000.0,4.0,0.5,2.0,1,100,500,80,3,2,50,1,1,0,950000,30,30,5,1,65536,96000000,256,50,1000,11.507729487279462,102456.0
386,1881600.0,1728000.0,1331200000.0,3.0,0.5,1.0,1,100,100,80,0,1,50,1,1,1,950000,30,30,5,1,32768,24000000,256,100,2000,8.254015887693564,40943.0
1248,2188800.0,1113600.0,408000000.0,1.0,0.5,2.0,0,60,100,10,3,2,50,0,2,0,500000,30,30,50,4,65536,24000000,256,50,2000,11.691340981776374,47654.0
829,1267200.0,1574400.0,2133000000.0,3.0,0.5,1.0,1,100,500,80,0,2,60,0,1,0,500000,60,30,5,1,65536,24000000,256,100,2000,9.773715577881227,107260.0
1117,576000.0,806400.0,2133000000.0,4.0,0.9,1.0,1,100,100,80,0,2,60,1,1,1,500000,30,30,50,4,32768,96000000,256,50,1000,7.991162422443532,50852.0
685,729600.0,960000.0,1866000000.0,3.0,0.5,2.0,0,60,100,10,3,2,50,0,2,0,500000,30,30,50,4,65536,24000000,256,50,2000,10.838374305697894,22913.0
1051,729600.0,1958400.0,800000000.0,3.0,0.5,1.0,1,60,100,80,3,1,50,1,1,0,500000,60,60,50,4,32768,24000000,128,100,2000,6.788400896839807,57153.0
2178,192000.0,499200.0,665600000.0,1.0,0.9,1.0,1,100,500,80,3,1,60,0,2,0,500000,60,60,5,4,32768,96000000,128,100,1000,22.485238539067673,39950.0
119,1958400.0,1651200.0,600000000.0,3.0,0.9,1.0,0,100,100,10,0,1,50,0,2,0,950000,60,30,50,4,65536,96000000,128,100,1000,12.632056485688453,64002.0
1184,2265600.0,192000.0,800000000.0,2.0,0.9,1.0,0,60,100,80,0,2,50,1,1,1,950000,30,60,50,1,32768,24000000,256,100,2000,8.620670716186035,64992.0
1754,345600.0,1497600.0,800000000.0,1.0,0.9,1.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,14.22657473917857,64863.0
1245,883200.0,192000.0,204000000.0,1.0,0.5,1.0,1,60,100,10,3,1,60,0,1,0,500000,60,30,5,4,65536,24000000,256,100,1000,10.40479864581894,118804.0
36,192000.0,1958400.0,665600000.0,3.0,0.5,2.0,1,60,500,10,3,2,50,1,2,0,950000,60,60,5,4,32768,96000000,128,100,2000,21.664759612479717,36574.0
476,1113600.0,1574400.0,1331200000.0,4.0,0.9,1.0,0,60,500,10,3,2,60,1,2,1,950000,60,60,5,4,32768,96000000,128,50,1000,9.179637594067248,69935.0
745,1728000.0,1267200.0,800000000.0,2.0,0.5,2.0,1,60,500,10,0,2,50,1,1,1,950000,60,30,50,4,32768,96000000,256,100,2000,9.945266027331794,110255.0
1478,1036800.0,729600.0,665600000.0,3.0,0.5,1.0,0,60,100,80,3,2,60,1,2,1,950000,30,60,5,4,65536,24000000,128,50,2000,6.8839754008413925,46455.0
857,115200.0,1420800.0,1065600000.0,4.0,0.5,2.0,0,60,100,10,3,2,50,0,2,0,500000,30,30,50,4,65536,24000000,256,50,2000,4.843986441316378,17242.0
1841,729600.0,1958400.0,2133000000.0,2.0,0.5,1.0,1,100,500,10,0,2,60,1,1,0,500000,30,60,50,1,32768,96000000,256,100,1000,12.566213248432572,45397.0
1495,2112000.0,576000.0,800000000.0,4.0,0.9,2.0,0,100,100,10,0,1,50,0,2,0,950000,60,60,5,1,32768,96000000,128,50,2000,27.420922534775897,82505.0
525,2265600.0,2035200.0,1065600000.0,1.0,0.9,2.0,0,60,500,80,0,1,60,1,2,0,950000,30,60,50,4,32768,96000000,128,50,1000,12.823187762892204,40650.0
320,192000.0,115200.0,665600000.0,2.0,0.9,2.0,1,100,100,80,3,2,50,0,2,0,950000,60,30,5,4,32768,96000000,128,100,2000,3.3689716476150924,32868.0
1903,1344000.0,1651200.0,600000000.0,2.0,0.5,2.0,0,100,500,10,0,2,50,0,2,0,500000,60,30,50,1,65536,96000000,256,100,1000,6.988770938318567,52874.0
1566,1574400.0,2112000.0,2133000000.0,1.0,0.5,1.0,1,60,500,10,0,2,50,1,1,1,500000,30,60,5,1,65536,96000000,128,100,1000,8.777397864864799,64060.0
2222,1113600.0,729600.0,1866000000.0,3.0,0.9,2.0,1,60,100,80,3,1,50,1,2,0,500000,30,60,5,4,65536,96000000,256,50,1000,11.541190624309387,55822.0
124,1958400.0,1958400.0,2133000000.0,4.0,0.5,2.0,0,100,500,10,0,1,60,0,1,1,500000,60,30,50,1,65536,24000000,128,100,2000,11.418126465583134,57023.0
1986,1344000.0,1267200.0,1065600000.0,1.0,0.5,2.0,1,100,100,80,0,2,60,1,2,1,500000,60,30,5,1,32768,24000000,128,50,2000,21.886092475194612,77086.0
940,2265600.0,1420800.0,2133000000.0,3.0,0.9,1.0,1,100,500,10,0,2,60,1,1,0,500000,30,60,50,1,32768,96000000,256,100,1000,6.9750722152730615,48257.0
2162,422400.0,2265600.0,2133000000.0,4.0,0.9,1.0,0,60,100,10,0,1,50,0,1,1,500000,60,60,5,4,32768,96000000,256,100,2000,10.474369601500614,43243.0
2223,1881600.0,1344000.0,204000000.0,4.0,0.5,2.0,1,60,100,10,0,1,60,0,1,0,950000,60,60,5,4,65536,96000000,256,100,1000,24.555290804743066,37683.0
2303,345600.0,806400.0,1866000000.0,1.0,0.9,2.0,0,100,500,80,3,2,60,0,1,0,950000,30,60,50,1,65536,24000000,256,50,1000,21.473526676786747,90286.0
1992,268800.0,192000.0,204000000.0,3.0,0.5,1.0,0,60,100,10,0,1,50,0,1,1,500000,60,60,5,4,32768,96000000,256,100,2000,8.32694832333905,39848.0
964,499200.0,2265600.0,408000000.0,2.0,0.5,1.0,0,60,100,10,3,2,50,0,2,1,500000,30,30,50,1,32768,24000000,128,100,2000,18.30225239965917,91079.0
61,960000.0,1574400.0,1866000000.0,2.0,0.9,2.0,1,100,100,80,0,1,50,0,1,1,500000,60,30,50,1,32768,24000000,128,50,2000,13.201752748055235,52052.0
184,1728000.0,806400.0,1331200000.0,1.0,0.5,2.0,1,60,500,10,0,1,50,1,2,1,950000,60,60,5,4,32768,24000000,256,100,2000,23.814826394075734,36541.0
450,576000.0,2112000.0,1065600000.0,2.0,0.5,1.0,0,60,500,80,0,2,60,0,1,0,500000,60,30,50,1,32768,96000000,256,50,1000,9.694820171010047,63695.0
459,1497600.0,960000.0,2133000000.0,4.0,0.9,2.0,0,60,100,10,3,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,12.998805319133814,62022.0
989,1881600.0,1804800.0,600000000.0,4.0,0.9,1.0,1,60,500,80,0,2,50,0,2,1,500000,30,30,50,4,65536,24000000,128,50,2000,13.633200577053685,53875.0
136,729600.0,2035200.0,1866000000.0,1.0,0.5,1.0,0,100,100,10,0,1,50,0,2,0,950000,60,30,50,4,65536,96000000,128,100,1000,7.6466773945014825,100436.0
1722,1113600.0,883200.0,1065600000.0,1.0,0.5,2.0,1,100,500,80,0,2,50,0,1,0,950000,60,60,50,4,32768,96000000,256,100,2000,8.237778240308177,53664.0
1657,2112000.0,576000.0,800000000.0,1.0,0.9,2.0,0,60,100,10,3,2,50,0,2,1,500000,30,30,50,1,32768,24000000,128,100,2000,9.34919079621486,63722.0
957,2112000.0,883200.0,408000000.0,2.0,0.9,2.0,1,60,100,10,3,1,60,1,1,0,500000,30,30,50,4,32768,24000000,128,100,2000,6.759917557321528,54247.0
274,422400.0,1958400.0,800000000.0,4.0,0.9,2.0,0,100,100,10,0,1,60,1,2,1,950000,60,60,5,1,65536,24000000,128,100,2000,21.857565591842658,67288.0
1753,883200.0,2112000.0,600000000.0,4.0,0.9,1.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,22.80773752578146,39310.0
1855,1574400.0,806400.0,800000000.0,2.0,0.9,2.0,0,100,100,80,3,2,50,0,1,0,950000,60,60,50,1,32768,24000000,128,100,2000,7.279836621575138,108932.0
1340,2112000.0,652800.0,408000000.0,2.0,0.5,1.0,0,60,100,80,3,1,60,0,2,0,950000,30,30,5,4,32768,96000000,256,50,2000,11.659594406278837,89724.0
544,806400.0,1344000.0,2133000000.0,4.0,0.9,2.0,1,60,100,10,3,1,50,1,1,0,950000,60,30,50,4,32768,96000000,256,50,2000,7.6207490979269625,54696.0
612,1574400.0,1804800.0,2133000000.0,3.0,0.5,1.0,0,60,100,10,0,1,50,0,1,1,500000,60,60,5,4,32768,96000000,256,100,2000,11.526812482357068,36173.0
960,1958400.0,1267200.0,665600000.0,3.0,0.5,1.0,1,100,500,80,3,1,50,0,1,1,950000,60,30,50,1,32768,96000000,128,100,2000,26.38438046081419,47021.0
1255,960000.0,576000.0,204000000.0,4.0,0.5,2.0,1,60,500,10,0,2,50,1,1,1,500000,30,60,5,1,65536,96000000,128,100,1000,7.330258509027875,52860.0
889,960000.0,1267200.0,2133000000.0,1.0,0.9,1.0,1,60,500,10,3,2,50,1,1,0,950000,60,60,5,1,32768,96000000,256,100,2000,25.456620998809296,65176.0
1466,2265600.0,1651200.0,2133000000.0,4.0,0.9,2.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,21.304054822330013,103287.0
457,499200.0,1344000.0,1331200000.0,2.0,0.5,2.0,0,100,500,10,0,1,50,1,1,0,500000,60,30,50,4,32768,24000000,128,50,2000,8.160653658232862,95930.0
1539,883200.0,1958400.0,600000000.0,3.0,0.5,2.0,1,100,500,80,0,2,50,0,2,0,950000,60,30,50,1,32768,96000000,128,100,1000,16.193843445395082,55133.0
2053,1728000.0,1497600.0,408000000.0,3.0,0.9,2.0,1,100,500,10,0,2,50,1,1,0,950000,30,60,5,4,65536,96000000,128,100,1000,28.54735214901134,78341.0
2309,1574400.0,1651200.0,2133000000.0,3.0,0.9,1.0,1,100,100,10,0,2,50,1,1,0,500000,30,30,50,4,32768,96000000,256,50,2000,25.952605729523405,40503.0
1258,2265600.0,1881600.0,600000000.0,4.0,0.9,1.0,0,60,100,80,3,1,60,0,2,0,950000,30,30,5,4,32768,96000000,256,50,2000,9.919706226772494,43884.0
1669,2112000.0,1881600.0,665600000.0,3.0,0.9,2.0,1,100,100,80,3,2,60,0,1,0,950000,30,30,50,4,65536,96000000,128,100,1000,17.945603585882658,56100.0
2293,115200.0,192000.0,204000000.0,2.0,0.9,1.0,1,60,500,10,0,2,50,1,2,0,500000,30,60,50,4,65536,24000000,128,100,1000,7.1582498000472725,87635.0
2000,1344000.0,1497600.0,1866000000.0,1.0,0.5,2.0,1,60,100,80,3,1,60,0,1,1,500000,30,60,50,4,32768,24000000,128,50,1000,24.35897901516108,99718.0
1802,2265600.0,345600.0,1331200000.0,3.0,0.5,2.0,1,100,500,10,0,2,50,1,1,0,950000,30,60,5,4,65536,96000000,128,100,1000,9.346391364553039,79209.0
1712,1651200.0,1651200.0,2133000000.0,3.0,0.9,2.0,1,100,100,10,0,2,60,1,1,1,500000,60,30,5,4,65536,24000000,128,50,2000,14.228461856408524,41664.0
2310,652800.0,115200.0,408000000.0,1.0,0.9,1.0,1,60,100,80,0,1,60,1,1,0,950000,30,30,50,1,65536,24000000,128,50,2000,21.799557118613254,101793.0
2321,2112000.0,115200.0,1331200000.0,4.0,0.9,2.0,0,60,500,10,0,2,60,0,1,0,500000,60,60,50,1,65536,24000000,128,100,1000,6.453440776709146,55641.0
79,422400.0,1881600.0,1065600000.0,3.0,0.9,1.0,1,100,500,80,3,2,50,1,1,0,950000,30,30,5,1,65536,96000000,256,50,1000,6.522768972084543,53129.0
1803,1344000.0,1574400.0,665600000.0,3.0,0.9,2.0,1,60,500,10,3,2,50,1,2,0,950000,30,30,5,1,65536,24000000,128,100,2000,19.431590421974345,114521.0
2112,576000.0,345600.0,2133000000.0,2.0,0.9,1.0,0,100,500,80,0,2,60,0,1,0,500000,30,30,5,4,32768,24000000,256,100,1000,7.777530267723155,86788.0
1647,422400.0,652800.0,204000000.0,4.0,0.5,2.0,1,100,500,80,0,2,50,0,1,0,950000,60,60,50,4,32768,96000000,256,100,2000,23.19683819985573,102120.0
1391,1267200.0,1036800.0,1331200000.0,2.0,0.5,1.0,1,60,100,10,3,1,60,0,1,0,500000,30,30,50,1,32768,24000000,256,50,2000,24.861577086443,52734.0
662,883200.0,345600.0,1331200000.0,3.0,0.5,2.0,1,100,500,80,0,2,50,1,1,1,500000,30,30,5,4,65536,24000000,128,50,2000,8.797613437193736,52530.0
1057,1804800.0,422400.0,204000000.0,2.0,0.5,2.0,0,60,500,10,3,2,50,0,2,0,500000,30,60,5,4,65536,96000000,128,100,2000,10.85550753003072,47459.0
2120,192000.0,960000.0,1065600000.0,3.0,0.9,2.0,0,100,100,80,0,2,60,1,1,1,950000,60,30,5,4,32768,24000000,256,100,2000,7.582873018500165,59151.0
834,192000.0,1804800.0,408000000.0,1.0,0.5,2.0,0,100,500,10,0,1,50,0,2,1,500000,30,60,50,4,65536,96000000,128,100,2000,10.4563003983665,37065.0
698,1344000.0,1804800.0,2133000000.0,2.0,0.9,2.0,1,60,500,10,3,2,50,1,2,0,950000,30,30,5,1,65536,24000000,128,100,2000,18.677328617985008,43974.0
524,1728000.0,652800.0,1331200000.0,4.0,0.5,1.0,0,60,500,10,3,2,50,0,2,0,500000,30,60,5,4,65536,96000000,128,100,2000,6.797285358241714,52504.0
703,576000.0,1497600.0,665600000.0,1.0,0.5,2.0,1,60,100,10,3,1,60,0,1,0,500000,60,30,5,4,65536,24000000,256,100,1000,23.391700459335734,69805.0
141,268800.0,1574400.0,204000000.0,1.0,0.9,2.0,1,100,100,80,0,1,50,0,1,1,500000,60,30,50,1,32768,24000000,128,50,2000,9.278681599915076,83444.0
1870,1267200.0,192000.0,2133000000.0,2.0,0.5,1.0,1,60,500,80,0,1,50,1,1,0,500000,60,30,50,1,32768,24000000,128,100,1000,13.387604410917154,43855.0
788,1497600.0,1344000.0,1065600000.0,1.0,0.5,1.0,1,60,500,10,0,2,50,1,2,0,500000,30,60,50,4,65536,24000000,128,100,1000,19.45095371361227,35467.0
967,422400.0,1113600.0,2133000000.0,1.0,0.9,1.0,0,60,100,80,0,2,60,0,2,1,950000,30,30,5,4,32768,96000000,256,100,2000,23.877594727009296,78111.0
1840,2035200.0,2265600.0,1331200000.0,3.0,0.5,1.0,0,60,100,10,0,2,60,0,1,0,500000,60,60,50,1,65536,24000000,128,50,2000,19.48822404632862,48538.0
154,806400.0,2188800.0,665600000.0,3.0,0.9,2.0,0,60,100,10,0,1,50,1,2,1,950000,30,30,50,4,65536,24000000,128,100,1000,7.016060747870442,47060.0
414,1651200.0,192000.0,408000000.0,4.0,0.5,2.0,1,60,500,80,0,2,60,0,2,1,500000,30,30,50,1,65536,24000000,256,50,1000,6.475416906450751,41824.0
832,499200.0,422400.0,600000000.0,4.0,0.5,1.0,0,100,100,80,0,1,60,0,2,1,950000,60,60,5,1,32768,24000000,256,50,2000,11.86000349143957,80656.0
1880,2112000.0,883200.0,1331200000.0,1.0,0.5,1.0,1,60,100,80,3,1,50,1,2,0,500000,30,60,5,4,65536,96000000,256,50,1000,10.635985114376592,54264.0
224,422400.0,1881600.0,2133000000.0,2.0,0.9,2.0,1,60,100,10,3,1,60,0,1,0,500000,30,30,50,1,32768,24000000,256,50,2000,27.12196941472373,52913.0
740,729600.0,2188800.0,2133000000.0,2.0,0.5,2.0,1,60,500,80,0,2,60,0,1,0,500000,60,60,5,1,32768,96000000,256,50,1000,28.03009479374343,42691.0
1587,1036800.0,499200.0,600000000.0,3.0,0.9,1.0,0,60,500,80,0,1,60,1,2,0,950000,30,60,50,4,32768,96000000,128,50,1000,11.201865677294052,41972.0
1810,652800.0,1804800.0,800000000.0,1.0,0.9,2.0,0,100,500,10,3,2,60,0,2,1,500000,60,30,5,4,32768,24000000,256,100,1000,11.253176974439752,112563.0
1345,576000.0,1344000.0,1866000000.0,3.0,0.9,2.0,1,60,100,10,3,1,60,1,1,0,500000,30,30,50,4,32768,24000000,128,100,2000,8.682543657180293,59329.0
1672,1420800.0,1574400.0,2133000000.0,1.0,0.5,2.0,0,60,100,10,3,2,50,0,2,1,500000,60,30,50,4,32768,24000000,128,100,1000,21.55321595428824,102715.0
2213,192000.0,1728000.0,600000000.0,4.0,0.9,2.0,0,60,100,80,0,1,50,0,1,0,950000,30,60,50,4,32768,24000000,128,50,1000,19.171784926372787,63183.0
350,1574400.0,345600.0,1866000000.0,4.0,0.9,2.0,1,100,100,80,3,2,50,0,2,0,950000,60,30,5,4,32768,96000000,128,100,2000,26.206724613862185,37348.0
1097,268800.0,115200.0,2133000000.0,3.0,0.5,2.0,0,100,500,10,3,1,60,1,1,1,950000,30,30,50,1,32768,24000000,256,100,2000,17.338918523326885,57475.0
828,1958400.0,192000.0,665600000.0,3.0,0.9,1.0,1,100,500,80,0,1,50,0,1,0,950000,30,60,5,4,65536,24000000,128,50,2000,7.826102900489028,36302.0
1541,1881600.0,422400.0,408000000.0,3.0,0.5,2.0,0,60,100,80,3,2,60,1,2,1,950000,30,60,5,4,65536,24000000,128,50,2000,6.709433077668963,36873.0
2032,806400.0,192000.0,1331200000.0,4.0,0.5,1.0,1,60,500,10,3,2,50,1,1,0,950000,60,60,5,1,32768,96000000,256,100,2000,20.522980379912106,45643.0
305,960000.0,2188800.0,2133000000.0,2.0,0.9,2.0,0,100,500,10,0,2,60,0,1,0,950000,30,30,5,4,32768,96000000,128,50,1000,12.130158391812827,94615.0
735,2188800.0,652800.0,600000000.0,1.0,0.9,2.0,0,100,100,80,3,2,50,0,1,0,950000,60,60,50,1,32768,24000000,128,100,2000,24.19030974819498,94502.0
77,422400.0,1881600.0,665600000.0,4.0,0.5,2.0,0,60,500,80,0,1,60,1,1,1,950000,60,30,5,4,65536,96000000,128,100,1000,9.438844299253574,42060.0
1849,1113600.0,1267200.0,800000000.0,1.0,0.5,2.0,1,60,500,10,3,2,50,1,2,0,950000,30,30,5,1,65536,24000000,128,100,2000,19.306962069886357,54251.0
1824,1804800.0,2112000.0,1866000000.0,3.0,0.9,2.0,1,100,500,80,3,2,50,1,1,0,950000,30,30,5,1,65536,96000000,256,50,1000,11.311435752876315,52216.0
501,729600.0,883200.0,665600000.0,3.0,0.9,2.0,1,100,100,80,0,2,60,1,1,1,500000,30,30,50,4,32768,96000000,256,50,1000,19.260739360369648,58103.0
1195,1190400.0,1804800.0,1866000000.0,1.0,0.9,1.0,0,100,500,10,0,1,60,0,1,1,500000,60,30,50,1,65536,24000000,128,100,2000,20.810508867056548,86225.0
2188,1267200.0,1574400.0,2133000000.0,3.0,0.5,1.0,0,100,100,80,0,2,60,1,1,1,950000,60,30,5,4,32768,24000000,256,100,2000,13.623729895267873,50270.0
370,1651200.0,729600.0,408000000.0,4.0,0.9,1.0,1,60,100,10,3,1,60,0,1,0,500000,60,30,5,4,65536,24000000,256,100,1000,19.954241189035706,101162.0
1565,729600.0,1728000.0,1866000000.0,2.0,0.5,1.0,1,100,500,80,0,2,50,1,1,1,500000,30,30,5,4,65536,24000000,128,50,2000,12.420543701986515,65556.0
650,2188800.0,1574400.0,800000000.0,2.0,0.5,1.0,0,100,100,10,0,1,60,0,2,0,950000,30,60,5,4,65536,96000000,128,50,1000,13.515569578393716,43534.0
1365,1420800.0,192000.0,1331200000.0,1.0,0.5,1.0,0,60,500,10,0,2,60,1,2,0,500000,30,60,5,4,65536,24000000,256,50,2000,18.576346531411602,49861.0
803,1420800.0,422400.0,1065600000.0,1.0,0.9,1.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,12.303438082338516,45871.0
1546,1267200.0,1267200.0,408000000.0,4.0,0.5,2.0,0,100,100,10,0,2,50,0,2,1,950000,30,60,50,1,65536,96000000,256,50,1000,11.705399340256019,74496.0
1863,1728000.0,499200.0,1065600000.0,1.0,0.5,2.0,0,60,100,10,3,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,22.637537450068674,50536.0
2123,2265600.0,422400.0,600000000.0,1.0,0.5,1.0,0,100,100,80,3,2,50,0,1,1,950000,30,30,50,4,32768,96000000,128,50,1000,12.380362575002966,65018.0
201,499200.0,1497600.0,2133000000.0,4.0,0.5,1.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,6.1192196056702,99261.0
410,1267200.0,1267200.0,1065600000.0,4.0,0.9,1.0,1,100,500,80,0,1,50,0,1,0,950000,30,60,5,4,65536,24000000,128,50,2000,8.098576948394276,50201.0
558,1881600.0,2035200.0,1065600000.0,2.0,0.5,1.0,0,60,100,80,0,2,50,1,1,1,950000,30,60,50,1,32768,24000000,256,100,2000,26.97828228854086,44107.0
45,345600.0,422400.0,408000000.0,1.0,0.9,2.0,0,100,100,10,3,2,60,0,2,0,950000,60,30,50,1,65536,96000000,256,100,1000,2.932698790882797,36518.0
